"Ancienneté par an","Distance domicile/travail","Service","Accident travail","Niveau  de  satisfaction","Contrat","Durée hebdo","Salaire mensuel","Variable moyen %","Augmentation","Promotion","Sexe","Tranche age","Salaire","Durée du travail"
13.3,17,"Consultant","Non",9,"CDI",28,2813.72,8,1,1,"H","60-69",3038.8175999999994,"Temps partiel"
24.1,28,"Marketing","Non",54,"CDI",35,7184.45,37,1,1,"H","40-49",9842.6965,"Temps plein"
20.5,61,"Compta Finances","Oui",70,"CDI",35,2604.1167,32,1,0,"H","60-69",3437.434044,"Temps plein"
18.6,16,"RH","Non",30,"CDI",35,5293.1667,39,0,1,"F","60-69",7357.501713,"Temps plein"
23.9,70,"Commercial","Oui",38,"CDI",35,6163.7333,16,1,1,"F","50-59",7149.930627999999,"Temps plein"
6.7,7,"RH","Non",35,"CDI",24,4117.36,8,1,1,"F","60-69",4446.748799999999,"Temps partiel"
23.8,40,"Consultant","Non",9,"CDI",35,9426.0833,24,1,0,"F","50-59",11688.343292,"Temps plein"
23.1,49,"Commercial","Oui",31,"CDI",35,5092.9667,11,1,1,"F","40-49",5653.193037000001,"Temps plein"
18.2,23,"Commercial","Oui",54,"CDI",35,8126.3,36,1,0,"F","50-59",11051.768,"Temps plein"
6.3,23,"Consultant","Non",69,"CDI",35,9782.5,38,0,1,"F","50-59",13499.85,"Temps plein"
14.9,36,"Commercial","Non",62,"CDI",35,1590.9833,30,1,0,"H","50-59",2068.27829,"Temps plein"
8.6,34,"RH","Oui",84,"CDI",35,7637.9333,21,1,0,"F","50-59",9241.899293,"Temps plein"
7.9,59,"Consultant","Non",34,"CDI",35,7304.2667,17,1,0,"F","40-49",8545.992038999999,"Temps plein"
10.2,59,"Compta Finances","Non",60,"CDI",35,8328.0167,14,1,0,"F","40-49",9493.939038,"Temps plein"
11.9,65,"RH","Non",59,"CDI",32,8860.8,19,1,1,"F","40-49",10544.351999999999,"Temps partiel"
11.8,31,"Commercial","Oui",66,"CDI",24,4974.32,32,0,1,"F","60-69",6566.1024,"Temps partiel"
12.6,59,"Marketing","Non",67,"CDI",35,6583.85,13,1,1,"F","60-69",7439.7505,"Temps plein"
